cwe_id,vendor,product,cve_count,kev_cves,kev_hit_rate,avg_epss_score
,samsung,android,795,0,0.0,0.000115
CWE-416,samsung,android,232,0,0.0,8e-05
CWE-755,juniper,junos,157,0,0.0,0.000118
CWE-532,rustfs,rustfs,148,0,0.0,0.000307
CWE-754,paloaltonetworks,pan-os,139,0,0.0,0.00032
CWE-352,parseplatform,parse_dashboard,136,0,0.0,0.00017
CWE-1289,parseplatform,parse_dashboard,135,0,0.0,0.00052
CWE-306,parseplatform,parse_dashboard,135,0,0.0,0.00036
CWE-862,parseplatform,parse_dashboard,135,0,0.0,0.00027
CWE-125,samsung,android,116,0,0.0,0.0002
CWE-476,linux,linux_kernel,96,0,0.0,0.000146
CWE-835,juniper,junos,86,0,0.0,0.00017
CWE-79,rustfs,rustfs,82,0,0.0,0.00033
CWE-285,rustfs,rustfs,78,0,0.0,0.00043
CWE-367,juniper,junos,78,0,0.0,6e-05
CWE-290,rustfs,rustfs,77,0,0.0,0.00039
CWE-427,sangoma,certified_asterisk,77,0,0.0,0.000214
CWE-22,samsung,android,73,0,0.0,0.00017
CWE-269,rustfs,rustfs,66,0,0.0,0.0002
CWE-754,juniper,junos,65,0,0.0,7e-05
,linux,linux_kernel,55,0,0.0,0.000138
CWE-416,juniper,junos,55,0,0.0,0.000146
CWE-416,juniper,junos_os_evolved,54,0,0.0,0.000146
CWE-682,juniper,junos_os_evolved,54,0,0.0,7e-05
CWE-667,juniper,junos,51,0,0.0,0.00015
CWE-362,microsoft,windows_10_1809,46,0,0.0,0.00031
CWE-416,mozilla,firefox,45,0,0.0,0.000455
CWE-20,color,iccdev,43,0,0.0,0.000999
CWE-416,mozilla,thunderbird,35,0,0.0,0.000448
CWE-79,craftcms,craft_commerce,35,0,0.0,0.000182
CWE-415,juniper,junos,34,0,0.0,0.00017
CWE-770,gitlab,gitlab,33,0,0.0,0.000348
CWE-362,microsoft,windows_10_21h2,32,0,0.0,0.000292
CWE-362,microsoft,windows_10_22h2,32,0,0.0,0.000292
CWE-362,microsoft,windows_11_24h2,32,0,0.0,0.000305
CWE-362,microsoft,windows_11_25h2,32,0,0.0,0.000305
CWE-362,microsoft,windows_11_23h2,28,0,0.0,0.000297
CWE-121,juniper,junos,27,0,0.0,0.00016
CWE-20,rustfs,rustfs,27,0,0.0,0.00091
CWE-362,microsoft,windows_server_2025,27,0,0.0,0.000305
CWE-362,microsoft,windows_10_1607,26,0,0.0,0.000363
CWE-362,microsoft,windows_server_2022_23h2,24,0,0.0,0.000303
CWE-119,mozilla,firefox,23,0,0.0,0.000481
CWE-362,microsoft,windows_server_2022,23,0,0.0,0.000305
CWE-122,microsoft,windows_10_1809,22,0,0.0,0.000316
CWE-200,apple,macos,22,0,0.0,0.000137
CWE-362,microsoft,windows_server_2019,22,0,0.0,0.000312
CWE-80,cisco,identity_services_engine,22,0,0.0,0.00011
,oracle,jdk,21,0,0.0,0.000293
,oracle,jre,21,0,0.0,0.000293
CWE-125,apple,macos,21,0,0.0,0.000204
CWE-119,dlink,dwr-m960,20,0,0.0,0.000315
CWE-119,dlink,dwr-m960_firmware,20,0,0.0,0.000315
CWE-122,microsoft,windows_11_24h2,20,0,0.0,0.000269
CWE-122,microsoft,windows_11_25h2,20,0,0.0,0.000269
CWE-416,freerdp,freerdp,20,0,0.0,0.000616
CWE-862,sap,s\/4hana_defense_\&_security,19,0,0.0,0.0001
CWE-122,microsoft,windows_10_1607,18,0,0.0,0.000314
CWE-122,microsoft,windows_10_21h2,18,0,0.0,0.000266
CWE-122,microsoft,windows_10_22h2,18,0,0.0,0.000266
CWE-122,microsoft,windows_11_23h2,18,0,0.0,0.000278
CWE-200,microsoft,windows_10_1809,18,2,0.111111,0.004976
CWE-252,juniper,junos,18,0,0.0,0.00017
CWE-347,sap,sap_basis,18,0,0.0,0.00015
CWE-416,microsoft,office_long_term_servicing_channel,18,0,0.0,0.000203
CWE-822,microsoft,office_long_term_servicing_channel,18,0,0.0,0.00039
CWE-119,mozilla,thunderbird,17,0,0.0,0.000471
CWE-1286,juniper,junos,17,0,0.0,0.00041
CWE-617,linux,linux_kernel,17,0,0.0,7e-05
CWE-79,angular,angular,17,0,0.0,0.000262
CWE-918,craftcms,craft_cms,17,0,0.0,0.00012
CWE-200,microsoft,windows_10_1607,16,2,0.125,0.005553
CWE-362,microsoft,windows_server_2012,16,0,0.0,0.000429
CWE-401,linux,linux_kernel,16,0,0.0,0.00015
CWE-416,linux,linux_kernel,16,1,0.0625,0.000469
CWE-79,gfi,mailessentials,16,0,0.0,0.00033
CWE-862,sap,netweaver_application_server_abap,16,0,0.0,0.000479
CWE-119,utt,520w,15,0,0.0,0.000978
CWE-119,utt,520w_firmware,15,0,0.0,0.000978
CWE-122,microsoft,windows_server_2012,15,0,0.0,0.000333
CWE-1393,szadmin,sz-boot-parent,15,0,0.0,0.00031
CWE-200,microsoft,windows_10_21h2,15,1,0.066667,0.003116
CWE-200,microsoft,windows_10_22h2,15,1,0.066667,0.003116
CWE-284,szadmin,sz-boot-parent,15,0,0.0,0.00063
CWE-285,szadmin,sz-boot-parent,15,0,0.0,0.00044
CWE-601,sap,sap_basis,15,0,0.0,0.0001
CWE-74,fabian,online_music_site,15,0,0.0,0.000303
CWE-79,cern,rucio,15,0,0.0,0.000512
CWE-79,cisco,identity_services_engine,15,0,0.0,0.00011
CWE-79,craftcms,craft_cms,15,0,0.0,0.000113
CWE-122,microsoft,windows_server_2025,14,0,0.0,0.000303
CWE-125,microsoft,office_long_term_servicing_channel,14,0,0.0,0.000216
CWE-125,microsoft,windows,14,0,0.0,0.000285
CWE-22,apple,macos,14,0,0.0,0.000213
CWE-416,microsoft,windows_11_23h2,14,0,0.0,0.000224
CWE-416,microsoft,windows_11_24h2,14,0,0.0,0.000258
CWE-416,microsoft,windows_11_25h2,14,0,0.0,0.000258
CWE-77,dlink,dir-823x_firmware,14,0,0.0,0.001914
CWE-122,microsoft,windows_server_2022_23h2,13,0,0.0,0.000312
CWE-266,yeqifu,warehouse,13,0,0.0,0.000474
CWE-349,f5,nginx_plus,13,0,0.0,0.00015
CWE-416,microsoft,windows_10_21h2,13,0,0.0,0.000228
CWE-416,microsoft,windows_10_22h2,13,0,0.0,0.000228
CWE-74,yonyou,ksoa,13,0,0.0,0.000315
CWE-754,openssl,openssl,13,0,0.0,0.000493
CWE-77,dlink,dir-823x,13,0,0.0,0.001971
,oracle,vm_virtualbox,12,0,0.0,0.000183
CWE-122,microsoft,windows_server_2008,12,0,0.0,0.000452
CWE-122,microsoft,windows_server_2019,12,0,0.0,0.000307
CWE-122,microsoft,windows_server_2022,12,0,0.0,0.000307
CWE-125,linux,linux_kernel,12,0,0.0,0.000187
CWE-200,microsoft,windows_11_23h2,12,1,0.083333,0.003813
CWE-200,microsoft,windows_11_24h2,12,1,0.083333,0.003813
CWE-200,microsoft,windows_11_25h2,12,1,0.083333,0.003813
CWE-362,microsoft,windows_server_2016,12,0,0.0,0.000371
CWE-416,microsoft,windows_server_2025,12,0,0.0,0.000276
CWE-451,google,chrome,12,0,0.0,0.000578
CWE-532,splunk,splunk,12,0,0.0,0.0004
CWE-639,spreecommerce,spree,12,0,0.0,0.00035
CWE-74,itsourcecode,school_management_system,12,0,0.0,0.000263
CWE-78,copeland,xweb_300d_pro,12,0,0.0,0.00137
CWE-78,copeland,xweb_300d_pro_firmware,12,0,0.0,0.00137
CWE-78,copeland,xweb_500b_pro,12,0,0.0,0.00137
CWE-78,copeland,xweb_500b_pro_firmware,12,0,0.0,0.00137
CWE-78,copeland,xweb_500d_pro,12,0,0.0,0.00137
CWE-78,copeland,xweb_500d_pro_firmware,12,0,0.0,0.00137
CWE-79,gitlab,gitlab,12,0,0.0,0.00076
CWE-862,sap,solution_tools_plug-in,12,0,0.0,0.00031
CWE-862,sap,strategic_enterprise_management,12,0,0.0,0.0001
CWE-89,quatuor,evaluacion_de_desempeno,12,0,0.0,0.00037
,oracle,mysql_server,11,0,0.0,0.000466
CWE-119,apple,macos,11,1,0.090909,0.000564
CWE-122,imagemagick,imagemagick,11,0,0.0,0.000452
CWE-200,apple,ipados,11,0,0.0,0.000164
CWE-200,apple,iphone_os,11,0,0.0,0.000164
CWE-367,craftcms,craft_cms,11,0,0.0,7.9e-05
CWE-416,microsoft,windows_server_2022,11,0,0.0,0.000238
CWE-611,sangoma,certified_asterisk,11,0,0.0,0.00061
CWE-639,netapp,ontap,11,0,0.0,0.00042
CWE-78,algosolutions,8180_ip_audio_alerter,11,0,0.0,0.004375
CWE-78,algosolutions,8180_ip_audio_alerter_firmware,11,0,0.0,0.004375
CWE-79,sangoma,certified_asterisk,11,0,0.0,0.00052
CWE-822,microsoft,windows_11_23h2,11,0,0.0,0.000324
CWE-822,microsoft,windows_11_24h2,11,0,0.0,0.000304
CWE-822,microsoft,windows_11_25h2,11,0,0.0,0.000304
,apple,macos,10,0,0.0,0.000294
CWE-119,tenda,f453,10,0,0.0,0.000828
CWE-119,tenda,f453_firmware,10,0,0.0,0.000828
CWE-122,microsoft,office_long_term_servicing_channel,10,0,0.0,0.000468
