vendor,product,total_cves,scored_cves,high_epss_cves,high_epss_rate,avg_epss_score
debian,debian_linux,3,3,1,0.333333,0.25992
gnu,inetutils,1,1,1,1.0,0.77919
samsung,android,1216,1216,0,0.0,0.00012
juniper,junos,606,606,0,0.0,0.000132
parseplatform,parse_dashboard,541,541,0,0.0,0.00033
rustfs,rustfs,478,478,0,0.0,0.000364
linux,linux_kernel,236,236,0,0.0,0.000187
apple,macos,176,176,0,0.0,0.000305
microsoft,windows_10_1809,171,171,0,0.0,0.002648
microsoft,windows_10_21h2,149,149,0,0.0,0.003601
microsoft,windows_10_22h2,149,149,0,0.0,0.003601
mozilla,firefox,149,149,0,0.0,0.000479
microsoft,windows_11_24h2,148,148,0,0.0,0.00264
microsoft,windows_11_25h2,146,146,0,0.0,0.002673
microsoft,windows_11_23h2,139,139,0,0.0,0.002788
paloaltonetworks,pan-os,139,139,0,0.0,0.00032
microsoft,windows_10_1607,131,131,0,0.0,0.003356
mozilla,thunderbird,119,119,0,0.0,0.000463
juniper,junos_os_evolved,118,118,0,0.0,0.000105
microsoft,windows_server_2025,112,112,0,0.0,0.0021
microsoft,windows_server_2022_23h2,105,105,0,0.0,0.002217
microsoft,windows_server_2022,102,102,0,0.0,0.002274
sangoma,certified_asterisk,99,99,0,0.0,0.000292
microsoft,windows_server_2012,97,97,0,0.0,0.003937
microsoft,windows_server_2019,93,93,0,0.0,0.002466
microsoft,office_long_term_servicing_channel,92,92,0,0.0,0.006772
microsoft,windows,86,86,0,0.0,0.000372
gitlab,gitlab,82,82,0,0.0,0.000356
microsoft,windows_server_2008,74,74,0,0.0,0.000792
imagemagick,imagemagick,71,71,0,0.0,0.000482
microsoft,windows_server_2016,71,71,0,0.0,0.003125
color,iccdev,68,68,0,0.0,0.000714
craftcms,craft_cms,67,67,0,0.0,0.000315
apple,ipados,64,64,0,0.0,0.000332
apple,iphone_os,64,64,0,0.0,0.000332
freerdp,freerdp,45,45,0,0.0,0.000726
google,chrome,45,45,0,0.0,0.000634
szadmin,sz-boot-parent,45,45,0,0.0,0.00046
sap,sap_basis,41,41,0,0.0,0.000145
cisco,identity_services_engine,37,37,0,0.0,0.00011
huawei,harmonyos,37,37,0,0.0,4.2e-05
craftcms,craft_commerce,35,35,0,0.0,0.000182
openclaw,openclaw,35,35,0,0.0,0.000372
microsoft,365_apps,34,34,0,0.0,0.008054
microsoft,office,33,33,0,0.0,0.012207
oracle,jdk,29,29,0,0.0,0.000347
oracle,jre,29,29,0,0.0,0.000347
oracle,vm_virtualbox,28,28,0,0.0,0.000275
joinmastodon,mastodon,26,26,0,0.0,0.00044
microsoft,sharepoint_server,26,26,0,0.0,0.002387
apple,visionos,25,25,0,0.0,0.000478
funadmin,funadmin,25,25,0,0.0,0.000392
n8n,n8n,25,25,0,0.0,0.010302
3ds,solidworks_edrawings,24,24,0,0.0,0.000173
splunk,splunk,23,23,0,0.0,0.000395
wekan_project,wekan,23,23,0,0.0,0.000274
open-emr,openemr,21,21,0,0.0,0.000814
openproject,openproject,21,21,0,0.0,0.000348
postgresql,postgresql,21,21,0,0.0,0.000753
dlink,dwr-m960,20,20,0,0.0,0.000315
dlink,dwr-m960_firmware,20,20,0,0.0,0.000315
oracle,mysql_server,20,20,0,0.0,0.000467
owlcyberdefense,opds-talon,20,20,0,0.0,0.000681
sap,s4core,20,20,0,0.0,0.000226
grafana,grafana,19,19,0,0.0,0.000158
mongodb,mongodb,19,19,0,0.0,0.000456
sap,s\/4hana_defense_\&_security,19,19,0,0.0,0.0001
algosolutions,8180_ip_audio_alerter,18,18,0,0.0,0.004321
algosolutions,8180_ip_audio_alerter_firmware,18,18,0,0.0,0.004321
cern,rucio,18,18,0,0.0,0.000507
fabian,online_music_site,18,18,0,0.0,0.000306
gfi,mailessentials,18,18,0,0.0,0.000327
angular,angular,17,17,0,0.0,0.000262
minimatch_project,minimatch,17,17,0,0.0,0.000431
sap,netweaver_as_abap_kernel,17,17,0,0.0,0.000126
spreecommerce,spree,17,17,0,0.0,0.000312
adobe,indesign,16,16,0,0.0,0.00024
dlink,dir-823x_firmware,16,16,0,0.0,0.002249
elastic,kibana,16,16,0,0.0,0.000587
fleetdm,fleet,16,16,0,0.0,0.00069
google,android,16,16,0,0.0,2.8e-05
ivanti,endpoint_manager,16,16,0,0.0,0.059005
sangoma,asterisk,16,16,0,0.0,0.000432
sap,netweaver_application_server_abap,16,16,0,0.0,0.000479
adobe,after_effects,15,15,0,0.0,0.00013
apple,watchos,15,15,0,0.0,0.00049
copeland,xweb_300d_pro,15,15,0,0.0,0.001239
copeland,xweb_300d_pro_firmware,15,15,0,0.0,0.001239
copeland,xweb_500b_pro,15,15,0,0.0,0.001239
copeland,xweb_500b_pro_firmware,15,15,0,0.0,0.001239
copeland,xweb_500d_pro,15,15,0,0.0,0.001239
copeland,xweb_500d_pro_firmware,15,15,0,0.0,0.001239
dlink,dir-823x,15,15,0,0.0,0.002321
espressif,esp-idf,15,15,0,0.0,0.000247
fastapiadmin,fastapi-admin,15,15,0,0.0,0.000358
github,enterprise_server,15,15,0,0.0,0.00057
huawei,emui,15,15,0,0.0,3.9e-05
utt,520w,15,15,0,0.0,0.000978
utt,520w_firmware,15,15,0,0.0,0.000978
asustor,data_master,14,14,0,0.0,0.000959
open5gs,open5gs,14,14,0,0.0,0.000613
sap,document_management_system,14,14,0,0.0,0.00019
sick,tdc-x401gl,14,14,0,0.0,0.000209
sick,tdc-x401gl_firmware,14,14,0,0.0,0.000209
yeqifu,warehouse,14,14,0,0.0,0.000496
apple,tvos,13,13,0,0.0,0.000534
bytecodealliance,wasmtime,13,13,0,0.0,0.000556
f5,nginx_plus,13,13,0,0.0,0.00015
fabian,online_product_reservation_system,13,13,0,0.0,0.000692
gunet,open_eclass_platform,13,13,0,0.0,0.000362
mattermost,mattermost_server,13,13,0,0.0,0.000258
openssl,openssl,13,13,0,0.0,0.000493
wireshark,wireshark,13,13,0,0.0,0.000261
yonyou,ksoa,13,13,0,0.0,0.000315
angeljudesuarez,society_management_system,12,12,0,0.0,0.000308
discourse,discourse,12,12,0,0.0,0.00039
djangoproject,django,12,12,0,0.0,0.018672
fabian,online_reviewer_system,12,12,0,0.0,0.000278
itsourcecode,school_management_system,12,12,0,0.0,0.000263
mediatek,mt6890,12,12,0,0.0,0.000488
mediatek,mt6897,12,12,0,0.0,0.00031
mediatek,mt6989,12,12,0,0.0,0.00031
oisf,suricata,12,12,0,0.0,0.000579
quatuor,evaluacion_de_desempeno,12,12,0,0.0,0.00037
sap,businessobjects_business_intelligence_platform,12,12,0,0.0,0.0004
sap,solution_tools_plug-in,12,12,0,0.0,0.00031
sap,strategic_enterprise_management,12,12,0,0.0,0.0001
tp-link,archer_be230,12,12,0,0.0,0.003802
tp-link,archer_be230_firmware,12,12,0,0.0,0.003802
ghost,ghost,11,11,0,0.0,0.000528
group-office,group_office,11,11,0,0.0,0.026665
invoiceplane,invoiceplane,11,11,0,0.0,0.000648
microsoft,excel,11,11,0,0.0,0.000282
netapp,ontap,11,11,0,0.0,0.00042
splunk,splunk_cloud_platform,11,11,0,0.0,0.0004
tenda,w30e,11,11,0,0.0,0.000382
tenda,w30e_firmware,11,11,0,0.0,0.000382
bacnetstack,bacnet_stack,10,10,0,0.0,0.000388
dell,powerscale_onefs,10,10,0,0.0,0.000227
dell,unisphere_for_powermax,10,10,0,0.0,0.000496
dnnsoftware,dotnetnuke,10,10,0,0.0,0.000258
hitachienergy,rtu520_firmware,10,10,0,0.0,0.00053
hitachienergy,rtu530_firmware,10,10,0,0.0,0.00053
hitachienergy,rtu540_firmware,10,10,0,0.0,0.00053
hitachienergy,rtu560_firmware,10,10,0,0.0,0.00053
mediatek,mt6991,10,10,0,0.0,0.000364
mineadmin,mineadmin,10,10,0,0.0,0.000342
nasa,cryptolib,10,10,0,0.0,0.000479
owlcyberdefense,opds-100,10,10,0,0.0,0.000681
owlcyberdefense,opds-1000,10,10,0,0.0,0.000681
prasklatechnology,placipy,10,10,0,0.0,0.000495
tenda,f453,10,10,0,0.0,0.000828
tenda,f453_firmware,10,10,0,0.0,0.000828
wegia,wegia,10,10,0,0.0,0.000263
adobe,substance_3d_designer,9,9,0,0.0,0.000212
b3log,siyuan,9,9,0,0.0,0.00107
binardat,10g08-0800gsm,9,9,0,0.0,0.000621
binardat,10g08-0800gsm_firmware,9,9,0,0.0,0.000621
dell,recoverpoint_for_virtual_machines,9,9,0,0.0,0.34162
gitea,gitea,9,9,0,0.0,0.000124
horilla,horilla,9,9,0,0.0,0.000247
mediatek,mt2735,9,9,0,0.0,0.000624
mediatek,mt6833,9,9,0,0.0,0.000624
mediatek,mt6853,9,9,0,0.0,0.000624
mediatek,mt6855,9,9,0,0.0,0.000624
mediatek,mt6873,9,9,0,0.0,0.000624
mediatek,mt6875,9,9,0,0.0,0.000624
mediatek,mt6877,9,9,0,0.0,0.000624
mediatek,mt6880,9,9,0,0.0,0.000624
mediatek,mt6883,9,9,0,0.0,0.000624
mediatek,mt6885,9,9,0,0.0,0.000624
mediatek,mt6889,9,9,0,0.0,0.000624
mediatek,mt6891,9,9,0,0.0,0.000624
mediatek,mt6893,9,9,0,0.0,0.000624
mediatek,mt6899,9,9,0,0.0,0.000402
mediatek,mt6993,9,9,0,0.0,0.0004
mediatek,mt8676,9,9,0,0.0,0.000407
mediatek,mt8791,9,9,0,0.0,0.000624
mediatek,nr15,9,9,0,0.0,0.000624
microsoft,azure_devops_server,9,9,0,0.0,0.00052
moodle,moodle,9,9,0,0.0,0.001117
newapi,new_api,9,9,0,0.0,0.0003
oracle,peoplesoft_enterprise_peopletools,9,9,0,0.0,0.000283
pear,pearweb,9,9,0,0.0,0.000546
saleor,saleor,9,9,0,0.0,0.00041
sap,webclient_ui_framework,9,9,0,0.0,0.00017
teamviewer,digital_employee_experience,9,9,0,0.0,0.000453
xwiki,xwiki,9,9,0,0.0,0.000457
anthropic,claude_code,8,8,0,0.0,0.000609
apple,safari,8,8,0,0.0,0.000485
autodesk,3ds_max,8,8,0,0.0,0.000112
beetel,777vr1,8,8,0,0.0,0.000371
