published_date,new_cve_count
2026-01-01,4
2026-01-02,25
2026-01-03,10
2026-01-04,6
2026-01-05,21
2026-01-06,29
2026-01-07,74
2026-01-08,83
2026-01-09,38
2026-01-10,52
2026-01-11,9
2026-01-12,34
2026-01-13,207
2026-01-14,52
2026-01-15,86
2026-01-16,67
2026-01-17,18
2026-01-18,22
2026-01-19,95
2026-01-20,127
2026-01-21,51
2026-01-22,158
2026-01-23,188
2026-01-24,60
2026-01-25,21
2026-01-26,57
2026-01-27,133
2026-01-28,92
2026-01-29,62
2026-01-30,53
2026-01-31,29
2026-02-01,3
2026-02-02,93
2026-02-03,153
2026-02-04,189
2026-02-05,34
2026-02-06,155
2026-02-07,60
2026-02-08,73
2026-02-09,130
2026-02-10,207
2026-02-11,152
2026-02-12,67
2026-02-13,42
2026-02-14,153
2026-02-15,13
2026-02-16,61
2026-02-17,43
2026-02-18,150
2026-02-19,269
2026-02-20,195
2026-02-21,79
2026-02-22,39
2026-02-23,68
2026-02-24,190
2026-02-25,206
2026-02-26,162
2026-02-27,182
2026-02-28,2
